15761,Grey DeLisle,36.083
11510,Macaulay Culkin,36.055
14329,Dean Norris,36.006
36594,Juno Temple,35.991
21089,Bruce Greenwood,35.937
13023,Colleen Camp,35.935
22970,Peter Dinklage,35.889
1204,Julia Roberts,35.863
32,Robin Wright,35.858
3968,Michael Sheen,35.828
21416,William Devane,35.755
33654,Breckin Meyer,35.628
2518,Gregg Henry,35.556
1277188,Jacob Tremblay,35.522
2876,Matt Dillon,35.476
34490,Sarah Paulson,35.443
18658,Mia Kirshner,35.424
21596,Shannon Elizabeth,35.394
3416,Demi Moore,35.334
21088,Alan Tudyk,35.285
18248,Mary-Louise Parker,35.261
76512,Jason Clarke,35.143
37153,Zoë Kravitz,35.109
17401,Stephen Root,35.102
18352,Patrick Dempsey,35.07
21163,Gary Cole,35.038
19274,Seth Rogen,35.016
7036,Eric Stoltz,35.011
1902,Dianne Wiest,34.976
144852,Richard Harmon,34.964
52404,Mae Whitman,34.953
14892,Rosemarie DeWitt,34.861
2229,Catherine Keener,34.841
8256,Anne Heche,34.754
10182,Ving Rhames,34.702
11108,Simon Pegg,34.692
973,Jason Flemyng,34.644
61134,Tatiana Maslany,34.608
18,Brad Garrett,34.592
515,Glenn Close,34.571
15762,Tara Strong,34.516
17265,Hayden Panettiere,34.489
26467,Kyra Sedgwick,34.455
38334,Jennifer Coolidge,34.388
39995,Michael Cera,34.347
12041,Julia Stiles,34.34
72873,Michael Stuhlbarg,34.327
38582,David Krumholtz,34.285
47882,Cynthia Gibb,34.273
14406,Lisa Kudrow,34.227
56675,Anson Mount,34.188
24967,Alyssa Milano,34.156
1063,Lea Thompson,34.121
10692,Michael Pitt,34.115
114019,Luke Evans,34.043
1581,Mary McDonnell,34.002
3267,George Hamilton,33.902
449,Jay Baruchel,33.877
4886,Norman Reedus,33.839
15887,Julia Ormond,33.802
1772,Anna Faris,33.766
4756,Matthew Broderick,33.757
4784,Laura Dern,33.726
6194,Claire Danes,33.72
5009,Peter Benson,33.624
71913,Bokeem Woodbine,33.621
17696,Kathryn Hahn,33.6
5247,John Fiedler,33.364
17773,Gabrielle Union,33.364
19536,Josh Duhamel,33.351
3910,Frances McDormand,33.254
2296,Clive Owen,33.183
90498,Devon Bostick,33.122
109,Elijah Wood,33.041
1246,Emily Mortimer,33.034
11662,Jason Lee,33.031
1462,Tim Blake Nelson,32.957
467645,Boyd Holbrook,32.954
5589,John Glover,32.945
133,Peter Sarsgaard,32.901
58224,Jason Sudeikis,32.854
17485,Oliver Platt,32.818
9779,Morris Chestnut,32.778
4785,Jeff Goldblum,32.762
212,David Cross,32.704
212208,Taylor Swift,32.694
8767,Jim Caviezel,32.692
2048,Gary Busey,32.67
5606,Sissy Spacek,32.605
35705,Regina Hall,32.587
11006,James Marsden,32.575
56676,Michael Welch,32.456
1036,Cybill Shepherd,32.399
56857,Peter Facinelli,32.362
6681,Sherilyn Fenn,32.359
18992,Aidan Quinn,32.355
36592,Saoirse Ronan,32.346
8399,Christopher Fairbank,32.326
53650,Anthony Mackie,32.269
1284,Noah Taylor,32.267
10427,Anne Archer,32.259
15033,Justin Long,32.23
57451,Leslie Bibb,32.225
10981,Fiona Shaw,32.142
1894,Scott Caan,32.117
938,Djimon Hounsou,32.106
108916,Rooney Mara,32.104
29369,Melanie Griffith,32.093
3229,Arliss Howard,32.081
6725,Russ Tamblyn,32.051
230,Stephen McHattie,31.989
8210,Wes Bentley,31.951
32895,Kevin James,31.879
3129,Tim Roth,31.853
25540,Sandra Oh,31.848
17881,Jason Schwartzman,31.846
122888,Ashley Williams,31.819
1817,Linda Cardellini,31.799
6613,Minnie Driver,31.76
79072,Kevin Durand,31.756
19839,David Paymer,31.696
4515,Treat Williams,31.676
20089,Jena Malone,31.665
80591,Rashida Jones,31.647
77335,Ben Mendelsohn,31.627
328,Brittany Murphy,31.619
5588,Alicia Silverstone,31.572
52605,Eva Longoria,31.542
12900,Wallace Shawn,31.541
1812,Michelle Williams,31.54
26513,Debra Winger,31.54
110014,Christina Hendricks,31.511
22125,Jimmi Simpson,31.509
34485,Lauren Holly,31.501
2206,Samantha Morton,31.49
15440,Jared Harris,31.446
10690,Anna Paquin,31.362
41229,Meg Foster,31.359
1893,Casey Affleck,31.2
9205,Denise Richards,31.192
58370,Amanda Crew,31.154
16937,Rex Linn,31.145
454,Michael Peña,31.112
11207,David Thewlis,31.099
883,Will Patton,31.09
9137,Renée Zellweger,31.071
17606,Imogen Poots,31.029
6473,Kelly Lynch,31.027
127558,Andrea Riseborough,31.008
8436,Miranda Richardson,30.977
8487,Gregory Peck,30.96
3291,Hugh Grant,30.953
4688,Michael Rapaport,30.948
22122,Meagan Good,30.927
6979,Romola Garai,30.892
21007,Jonah Hill,30.823
7505,Roddy McDowall,30.793
28768,Farrah Fawcett,30.756
228,Ed Harris,30.732
18980,Katey Sagal,30.698
11805,Frank Whaley,30.694
1210,Hector Elizondo,30.647
4,Carrie Fisher,30.621
67599,Vanessa Hudgens,30.617
1903,Alan Arkin,30.616
2314,Peter Falk,30.591
7431,Kevin Zegers,30.578
38940,Evan Rachel Wood,30.538
66446,Lucy Punch,30.472
59860,Alice Eve,30.456
49001,Sarah Chalke,30.335
11511,Daniel Stern,30.327
51995,Theo Rossi,30.311
2144,Tobin Bell,30.29
61981,Michael Clarke Duncan,30.256
8977,Craig T. Nelson,30.228
18023,Robert Carlyle,30.213
2954,Jeffrey Wright,30.205
8169,Tyrese Gibson,30.179
21200,Will Arnett,30.125
45827,Ashley Greene,30.038
5587,Hank Azaria,29.99
38670,Camilla Belle,29.958
14409,David Schwimmer,29.895
2838,Chloë Sevigny,29.888
62747,Chad Michael Murray,29.854
879,Billy Bob Thornton,29.838
14326,Patsy Kensit,29.832
12763,Joseph Fiennes,29.821
1979,Kevin Spacey,29.793
61980,Wendie Malick,29.778
78029,Martin Lawrence,29.74
11109,Nick Frost,29.728
5048,Harry Dean Stanton,29.724
59620,Gemma Arterton,29.7
1166,Harris Yulin,29.697
52848,Isla Fisher,29.654
61114,Kate Walsh,29.507
1103,Bill Duke,29.502
27105,Ed Helms,29.41
26472,Steve Guttenberg,29.399
12898,Tim Allen,29.371
1472,Ray McKinnon,29.369
